NumCom,Combinacion,TP,TN,FP,FN
187,1101110100000000,1,325,57,58
188,0011110100000000,27,351,31,32
189,1011110100000000,1,325,57,58
190,0111110100000000,27,351,31,32
191,1111110100000000,1,325,57,58
192,0000001100000000,26,350,32,33
193,1000001100000000,2,326,56,57
194,0100001100000000,26,350,32,33
195,1100001100000000,2,326,56,57
196,0010001100000000,31,355,27,28
197,1010001100000000,1,325,57,58
198,0110001100000000,31,355,27,28
199,1110001100000000,1,325,57,58
200,0001001100000000,21,345,37,38
201,1001001100000000,1,325,57,58
202,0101001100000000,21,345,37,38
203,1101001100000000,1,325,57,58
204,0011001100000000,28,352,30,31
205,1011001100000000,1,325,57,58
206,0111001100000000,28,352,30,31
207,1111001100000000,1,325,57,58
208,0000101100000000,28,352,30,31
209,1000101100000000,2,326,56,57
210,0100101100000000,28,352,30,31
211,1100101100000000,2,326,56,57
212,0010101100000000,30,354,28,29
213,1010101100000000,1,325,57,58
214,0110101100000000,30,354,28,29
215,1110101100000000,1,325,57,58
216,0001101100000000,25,349,33,34
217,1001101100000000,1,325,57,58
218,0101101100000000,25,349,33,34
219,1101101100000000,1,325,57,58
220,0011101100000000,27,351,31,32
221,1011101100000000,1,325,57,58
222,0111101100000000,27,351,31,32
223,1111101100000000,1,325,57,58
224,0000011100000000,25,349,33,34
225,1000011100000000,1,325,57,58
226,0100011100000000,25,349,33,34
227,1100011100000000,1,325,57,58
228,0010011100000000,27,351,31,32
229,1010011100000000,1,325,57,58
230,0110011100000000,27,351,31,32
231,1110011100000000,1,325,57,58
232,0001011100000000,20,344,38,39
233,1001011100000000,1,325,57,58
234,0101011100000000,20,344,38,39
235,1101011100000000,1,325,57,58
236,0011011100000000,26,350,32,33
237,1011011100000000,1,325,57,58
238,0111011100000000,26,350,32,33
239,1111011100000000,1,325,57,58
240,0000111100000000,26,350,32,33
241,1000111100000000,1,325,57,58
242,0100111100000000,26,350,32,33
243,1100111100000000,1,325,57,58
244,0010111100000000,28,352,30,31
245,1010111100000000,1,325,57,58
246,0110111100000000,28,352,30,31
247,1110111100000000,1,325,57,58
248,0001111100000000,21,345,37,38
249,1001111100000000,1,325,57,58
250,0101111100000000,21,345,37,38
251,1101111100000000,1,325,57,58
252,0011111100000000,28,352,30,31
253,1011111100000000,1,325,57,58
254,0111111100000000,28,352,30,31
255,1111111100000000,1,325,57,58
256,0000000010000000,15,339,43,44
257,1000000010000000,1,325,57,58
258,0100000010000000,15,339,43,44
259,1100000010000000,1,325,57,58
260,0010000010000000,30,354,28,29
261,1010000010000000,1,325,57,58
262,0110000010000000,30,354,28,29
263,1110000010000000,1,325,57,58
264,0001000010000000,7,331,51,52
265,1001000010000000,1,325,57,58
266,0101000010000000,7,331,51,52
267,1101000010000000,1,325,57,58
268,0011000010000000,27,351,31,32
269,1011000010000000,1,325,57,58
270,0111000010000000,27,351,31,32
271,1111000010000000,1,325,57,58
272,0000100010000000,30,354,28,29
273,1000100010000000,1,325,57,58
274,0100100010000000,30,354,28,29
275,1100100010000000,1,325,57,58
276,0010100010000000,30,354,28,29
277,1010100010000000,1,325,57,58
278,0110100010000000,30,354,28,29
279,1110100010000000,1,325,57,58
280,0001100010000000,18,342,40,41
281,1001100010000000,1,325,57,58
282,0101100010000000,18,342,40,41
283,1101100010000000,1,325,57,58
284,0011100010000000,28,352,30,31
285,1011100010000000,1,325,57,58
286,0111100010000000,28,352,30,31
287,1111100010000000,1,325,57,58
288,0000010010000000,18,342,40,41
289,1000010010000000,1,325,57,58
290,0100010010000000,18,342,40,41
291,1100010010000000,1,325,57,58
292,0010010010000000,28,352,30,31
293,1010010010000000,1,325,57,58
294,0110010010000000,28,352,30,31
295,1110010010000000,1,325,57,58
296,0001010010000000,11,335,47,48
297,1001010010000000,1,325,57,58
298,0101010010000000,11,335,47,48
299,1101010010000000,1,325,57,58
300,0011010010000000,26,350,32,33
301,1011010010000000,1,325,57,58
302,0111010010000000,26,350,32,33
303,1111010010000000,1,325,57,58
304,0000110010000000,24,348,34,35
305,1000110010000000,1,325,57,58
306,0100110010000000,24,348,34,35
307,1100110010000000,1,325,57,58
308,0010110010000000,26,350,32,33
309,1010110010000000,1,325,57,58
310,0110110010000000,26,350,32,33
311,1110110010000000,1,325,57,58
312,0001110010000000,18,342,40,41
313,1001110010000000,1,325,57,58
