5,2326,302,6,92,98,56,36,1,4,6,11,10,4,6,159,1
4,3965,589,1,138,139,55,37,1,3,7,4,17,5,6,264,1
2,951,11,103,5,108,25,17,1,5,2,6,0,3,5,15,1
4,1543,149,4,67,71,35,21,1,2,4,4,6,4,6,68,1
0,623,61,2,32,34,13,5,0,0,3,0,1,1,3,5,1
4,2056,298,4,81,85,32,29,1,4,7,4,9,4,6,110,1
3,1165,194,3,25,28,16,14,1,0,5,2,4,2,5,77,1
5,892,100,24,27,51,16,18,1,1,6,4,4,2,6,56,1
3,1151,142,2,59,61,15,21,1,2,3,4,9,2,6,69,1
3,1174,183,1,24,25,14,11,1,0,4,2,2,2,5,73,1
3,1056,126,4,23,27,13,10,1,0,3,1,4,1,5,90,1
2,820,133,3,28,31,25,13,0,0,6,0,5,2,3,53,1
2,1863,375,0,11,11,22,7,0,0,5,0,1,1,3,147,1
4,542,65,4,14,18,0,3,0,0,1,0,2,0,2,10,1
3,1047,167,1,20,21,12,9,1,0,4,0,2,2,4,62,1
2,1141,197,2,25,27,11,8,0,0,4,0,2,2,3,68,1
3,304,23,20,14,34,9,9,1,4,1,1,2,0,5,19,1
1,658,54,1,28,29,13,5,0,0,3,0,1,1,3,4,1
2,95,0,18,0,18,8,5,0,1,2,0,1,1,4,1,1
3,445,45,21,12,33,5,7,1,4,0,0,2,0,3,33,1
1,630,124,1,18,19,12,6,1,0,1,3,0,1,4,55,1
4,715,157,3,21,24,4,7,1,1,2,1,1,1,6,51,1
2,888,108,7,50,57,20,18,1,0,3,1,12,1,5,80,1
1,467,60,18,23,41,24,10,1,0,3,3,1,2,5,30,1
3,607,129,13,4,17,0,9,1,0,2,4,1,1,5,34,1
2,143,0,24,34,58,13,14,0,5,1,4,1,3,5,0,1
3,517,108,2,12,14,3,12,1,3,4,1,0,3,5,29,1
0,275,24,1,5,6,3,10,1,3,3,1,0,2,5,15,1
3,856,217,24,29,53,11,13,1,1,4,5,0,2,5,48,1
2,538,150,1,15,16,4,7,1,0,0,3,3,0,3,24,1
1,922,186,1,22,23,10,6,0,0,1,2,2,1,4,109,1
3,807,106,3,8,11,2,4,1,0,0,2,1,0,3,94,1
1,322,57,6,16,22,33,9,1,1,2,2,2,1,6,5,1
1,440,69,4,18,22,3,4,1,2,1,0,0,0,3,41,1
2,880,133,6,61,67,38,22,1,3,4,3,7,4,6,66,1
3,569,40,3,42,45,8,14,1,3,2,3,4,1,6,24,1
1,340,27,1,6,7,0,2,0,0,1,0,1,0,2,53,1
4,1279,157,0,10,10,6,7,0,0,5,0,0,2,2,69,1
3,233,9,4,4,8,1,1,0,0,1,0,0,0,1,8,1
2,326,36,26,5,31,0,6,1,1,0,3,0,1,4,21,1
3,258,24,10,10,20,3,8,1,4,1,0,2,0,4,18,1
5,1013,60,1,39,40,28,16,1,0,6,3,4,2,5,39,1
1,116,16,38,4,42,1,8,1,1,2,3,0,1,5,4,1
0,418,38,2,30,32,10,17,0,0,12,1,2,2,4,25,1
1,343,41,1,22,23,13,5,0,0,1,2,1,1,4,28,1
2,873,166,12,25,37,8,15,1,2,6,3,1,2,6,40,1
3,533,74,19,32,51,10,15,1,0,2,3,9,0,4,19,1
1,410,92,0,22,22,2,5,0,0,2,0,3,0,2,0,1
1,157,47,0,6,6,0,2,0,0,1,0,0,1,2,0,1
1,162,19,13,8,21,0,7,0,0,4,0,1,2,3,40,1
0,333,50,30,19,49,7,5,0,1,0,3,1,0,3,0,1
3,568,47,11,19,30,1,6,1,0,0,2,3,0,3,47,1
5,437,66,24,13,37,4,7,1,4,0,0,2,0,3,38,1
0,196,26,1,13,14,10,4,0,0,1,1,1,1,4,14,1
2,134,19,3,4,7,1,3,1,0,0,1,1,0,3,6,1
2,91,1,14,9,23,3,5,0,1,0,2,1,1,4,4,1
1,129,7,71,2,73,0,6,0,0,3,0,1,2,3,2,1
1,552,74,2,59,61,56,20,1,1,4,4,8,2,6,38,1
1,313,42,28,13,41,19,5,0,2,3,0,0,0,2,24,1
2,194,9,1,10,11,3,8,1,0,3,1,2,1,5,2,1
2,75,0,38,13,51,15,20,0,4,1,11,1,3,5,2,1
0,242,21,5,24,29,17,7,0,0,3,0,3,1,3,15,1
0,120,3,3,17,20,6,4,0,0,1,1,1,1,4,5,1
6,426,59,1,9,10,16,5,0,0,3,0,2,0,2,19,1
1,168,34,1,3,4,1,7,0,0,5,0,0,2,2,21,1
2,111,12,1,7,8,0,2,0,0,1,0,0,1,2,3,1
0,104,2,6,3,9,29,7,0,1,2,2,1,1,5,2,1
2,634,86,7,37,44,3,13,1,2,1,2,5,2,6,21,1
2,199,13,2,4,6,0,4,1,0,1,1,1,0,4,11,1
1,354,35,1,29,30,28,16,0,0,8,1,3,4,4,28,1
0,66,1,37,2,39,2,8,0,0,3,3,0,2,3,0,1
1,150,23,1,11,12,6,4,0,1,1,0,1,1,4,7,1
1,205,31,1,15,16,4,6,0,0,1,0,4,1,3,18,1
0,93,5,2,4,6,0,3,0,0,1,1,1,0,3,3,1
0,95,11,3,10,13,0,10,1,1,3,1,2,2,6,13,1
2,1682,372,0,10,10,0,2,0,0,0,0,1,1,2,22,1
3,788,99,22,27,49,6,14,1,2,1,6,4,0,5,34,1
1,226,43,1,7,8,8,6,0,0,4,1,0,1,3,17,1
3,960,115,7,39,46,27,12,1,1,1,5,3,1,6,84,1
2,618,96,2,18,20,0,2,0,0,1,0,1,0,2,18,1
1,376,93,0,19,19,2,6,0,0,3,0,3,0,2,31,1
0,220,38,5,8,13,0,3,0,0,0,3,0,0,1,9,1
1,145,13,4,10,14,2,10,1,1,3,3,2,0,5,7,1
0,32,0,14,3,17,1,3,0,0,0,2,1,0,2,0,1
1,100,7,2,6,8,0,7,1,1,1,2,1,1,6,4,1
0,107,0,3,6,9,2,2,0,0,1,0,0,1,2,6,1
2,303,36,0,12,12,2,7,0,1,3,0,2,1,4,20,1
0,53,0,29,14,43,9,11,0,2,2,4,2,1,5,2,1
1,315,29,5,23,28,16,10,1,0,4,0,4,1,4,20,1
1,140,3,5,20,25,6,4,0,0,1,1,1,1,4,5,1
3,424,66,1,21,22,0,1,0,0,0,0,1,0,1,19,0
0,205,47,1,13,14,0,3,0,0,0,0,3,0,1,42,0
0,80,11,7,0,7,0,2,0,1,0,1,0,0,2,0,0
0,122,21,2,1,3,1,3,0,0,2,0,0,1,2,6,0
0,117,13,1,2,3,2,3,0,0,2,0,1,0,2,5,0
1,106,8,1,7,8,0,1,0,0,0,1,0,0,1,2,0
1,443,102,1,14,15,7,2,1,0,0,0,1,0,2,18,0
0,63,15,3,5,8,0,4,0,0,1,2,1,0,3,1,0
0,66,11,6,5,11,2,4,1,0,0,1,2,0,3,6,0
1,143,18,1,10,11,6,3,0,0,1,0,1,1,3,2,0
1,212,51,8,17,25,2,12,1,0,4,4,1,2,5,7,0
0,33,0,5,1,6,0,3,0,0,0,2,1,0,2,1,0
1,242,28,1,14,15,1,6,1,0,1,2,2,0,4,13,0
1,75,6,3,4,7,0,1,0,0,0,0,1,0,1,2,0
0,430,52,1,10,11,1,4,1,0,0,2,1,0,3,15,0
1,40,0,0,13,13,0,1,0,0,1,0,0,0,1,2,0
1,96,20,23,1,24,0,1,0,0,0,0,1,0,1,1,0
2,278,16,3,22,25,0,9,0,0,2,0,7,0,2,40,0
0,116,27,6,2,8,0,2,1,0,0,1,0,0,2,9,0
1,91,7,0,10,10,0,4,0,0,2,0,2,0,2,8,0
2,451,75,2,11,13,27,7,0,0,2,2,2,1,4,49,0
1,189,35,0,12,12,1,3,0,0,1,0,1,1,3,4,0
0,136,17,2,7,9,0,3,0,0,2,1,0,0,2,2,0
0,54,0,3,8,11,28,2,0,0,1,0,1,0,2,0,0
1,187,8,2,15,17,0,1,0,0,0,1,0,0,1,26,0
0,11,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
0,159,19,1,11,12,7,5,0,0,1,0,4,0,2,7,0
1,95,5,1,11,12,6,3,0,0,1,0,1,1,3,2,0
1,169,9,9,6,15,26,7,0,1,2,1,2,1,5,5,0
1,79,5,1,7,8,6,2,0,0,1,0,0,1,2,3,0
2,214,26,2,0,2,0,0,0,0,0,0,0,0,0,12,0
2,443,7,35,3,38,8,4,1,0,1,1,0,1,4,10,0
0,76,7,14,2,16,6,1,0,0,0,0,0,1,1,2,0
1,292,48,2,1,3,0,1,1,0,0,0,0,0,1,53,0
1,145,11,2,9,11,1,8,0,1,4,1,0,2,4,15,0
2,51,0,26,1,27,4,12,1,2,4,3,0,2,5,1,0
1,179,40,0,10,10,0,4,0,0,1,2,1,0,3,19,0
1,43,1,0,8,8,0,3,0,0,1,2,0,0,2,4,0
1,195,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1,344,50,1,18,19,3,5,0,0,1,1,2,1,4,20,0
1,195,23,1,11,12,6,3,0,0,1,0,1,1,3,10,0
2,132,10,1,12,13,6,3,0,0,1,0,1,1,3,1,0
1,43,0,1,3,4,0,1,0,0,0,1,0,0,1,3,0
1,166,18,0,16,16,1,5,0,0,0,2,3,0,2,12,0
1,340,48,1,19,20,21,3,0,0,0,0,3,0,1,28,0
1,240,18,2,27,29,37,11,1,1,3,1,3,2,6,9,0
1,149,20,1,9,10,0,1,0,0,1,0,0,0,1,9,0
0,159,16,1,11,12,1,1,0,0,0,0,1,0,1,7,0
2,641,48,1,42,43,0,3,0,0,0,0,3,0,1,30,0
0,206,12,5,18,23,9,9,1,0,3,1,2,2,5,8,0
3,397,56,3,26,29,24,11,0,0,6,1,3,1,4,23,0
1,63,5,20,11,31,2,6,0,1,0,3,2,0,3,4,0
2,174,22,3,6,9,0,2,1,0,1,0,0,0,2,8,0
0,101,19,1,5,6,2,2,0,0,1,0,1,0,2,3,0
1,151,29,1,11,12,0,8,0,1,4,0,1,2,4,21,0
2,340,0,21,0,21,2,7,0,0,2,4,0,1,3,2,0
1,16,0,4,3,7,1,3,0,0,2,0,1,0,2,0,0
0,18,0,7,2,9,1,5,0,1,1,2,1,0,4,0,0
0,16,0,5,0,5,1,1,0,0,1,0,0,0,1,0,0
2,283,17,1,2,3,0,1,0,0,0,1,0,0,1,4,0
1,204,40,0,8,8,0,2,0,0,2,0,0,0,1,0,0
0,126,17,1,0,1,0,0,0,0,0,0,0,0,0,8,0
0,104,19,2,3,5,0,3,0,0,0,2,1,0,2,9,0
0,92,5,2,5,7,26,5,0,0,2,1,1,1,4,0,0
0,69,1,6,2,8,0,2,0,0,0,1,1,0,2,0,0
1,90,11,39,2,41,0,2,1,0,0,0,1,0,2,4,0
0,29,0,3,3,6,0,3,0,0,0,2,1,0,2,0,0
0,64,10,5,0,5,0,0,0,0,0,0,0,0,0,10,0
0,53,3,7,0,7,0,0,0,0,0,0,0,0,0,1,0
3,182,25,0,3,3,0,2,0,0,1,0,0,1,2,7,0
0,68,9,1,5,6,0,1,0,0,0,1,0,0,1,3,0
0,52,10,5,0,5,0,0,0,0,0,0,0,0,0,7,0
0,64,0,6,0,6,0,2,0,0,0,2,0,0,1,1,0
0,50,15,3,0,3,0,2,0,0,0,1,1,0,2,3,0
3,419,24,1,15,16,2,8,1,0,1,3,3,0,4,16,0
1,280,50,0,8,8,0,1,0,0,0,0,1,0,1,16,0
0,84,5,2,0,2,0,0,0,0,0,0,0,0,0,8,0
2,143,32,5,3,8,0,2,0,1,0,0,1,0,2,19,0
0,35,4,4,1,5,0,5,1,0,1,1,0,2,4,0,0
0,25,1,7,0,7,0,0,0,0,0,0,0,0,0,3,0
1,312,64,1,13,14,0,1,0,0,0,0,0,1,1,14,0
2,290,22,4,21,25,0,7,0,0,2,0,5,0,2,42,0
1,91,13,10,2,12,0,1,0,0,0,0,1,0,1,4,0
0,225,23,18,9,27,0,4,0,0,0,2,2,0,2,7,0
0,153,13,5,10,15,26,7,0,0,2,2,2,1,4,3,0
0,131,43,19,1,20,0,1,0,0,0,1,0,0,1,5,0
1,18,0,11,1,12,0,1,0,0,0,1,0,0,1,0,0
0,110,13,3,2,5,0,2,0,0,1,0,0,1,2,0,0
1,95,4,1,3,4,0,1,0,0,0,0,1,0,1,4,0
1,69,8,16,9,25,0,5,0,0,2,0,3,0,2,6,0
1,88,7,5,11,16,4,6,1,1,1,2,1,0,5,4,0
1,11,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1,15,0,2,2,4,0,2,0,0,0,1,1,0,2,0,0
2,486,120,3,5,8,0,2,0,0,0,2,0,0,1,46,0
3,433,51,2,33,35,3,11,1,0,2,3,5,0,4,22,0
2,178,25,3,7,10,0,3,1,0,1,1,0,0,3,10,0
2,90,0,11,7,18,0,4,0,0,0,2,2,0,2,7,0
0,118,5,23,2,25,0,2,0,0,0,2,0,0,1,8,0
1,12,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0
0,116,31,1,0,1,0,0,0,0,0,0,0,0,0,5,0
0,41,0,2,1,3,0,1,0,0,1,0,0,0,1,0,0
1,13,0,5,3,8,0,3,0,0,0,1,2,0,2,0,0
3,329,25,2,8,10,0,3,0,0,1,1,1,0,3,8,0
3,307,25,3,7,10,0,4,1,0,1,2,0,0,3,8,0
3,210,18,1,7,8,0,3,0,0,1,2,0,0,2,9,0
3,239,20,1,7,8,0,3,0,0,1,2,0,0,2,9,0
1,191,9,6,10,16,26,6,0,0,1,2,2,1,4,2,0
3,246,18,2,7,9,0,2,0,0,1,1,0,0,2,9,0
0,177,19,5,10,15,26,5,0,0,1,2,1,1,4,3,0
1,37,0,5,8,13,29,3,0,0,1,0,2,0,2,1,0
0,40,0,4,2,6,5,1,0,0,1,0,0,0,1,0,0
0,27,0,4,1,5,5,1,0,0,1,0,0,0,1,0,0
1,94,4,3,18,21,0,6,1,0,0,1,4,0,3,2,0
1,435,75,1,19,20,9,8,0,0,5,1,1,1,4,23,0
1,73,4,1,3,4,0,2,0,0,0,1,1,0,2,0,0
2,206,69,12,3,15,0,2,1,0,0,1,0,0,2,12,0
1,269,45,2,2,4,0,1,1,0,0,0,0,0,1,53,0
0,234,26,2,2,4,0,0,0,0,0,0,0,0,0,10,0
0,62,0,4,6,10,2,5,0,0,3,1,0,1,3,12,0
1,28,0,2,6,8,0,4,0,0,0,1,3,0,2,0,0
0,98,3,6,4,10,26,5,0,0,2,1,1,1,4,1,0
0,43,0,2,1,3,0,3,0,0,2,0,0,1,2,0,0
0,228,29,5,12,17,0,1,0,0,0,0,1,0,1,14,0
1,61,2,1,8,9,0,2,0,0,1,0,0,1,2,1,0
0,51,9,65,0,65,0,3,0,0,0,3,0,0,1,0,0
1,28,0,2,6,8,0,4,0,0,0,1,3,0,2,0,0
3,295,0,1,7,8,5,6,0,1,3,0,2,0,3,1,0
1,152,27,1,7,8,2,4,1,0,0,1,2,0,3,13,0
0,85,2,5,4,9,26,6,0,0,2,2,1,1,4,0,0
1,121,10,1,15,16,0,2,1,0,0,0,1,0,2,10,0
